country,country_code,year,gdp_per_capita_constant_2015_usd,life_expectancy,log_gdp_per_capita,population,region,income_group,log_gdp_pc
El Salvador,SLV,2024,4585.22599757795,72.302,8.43059467411442,6338193.0,Latin America & Caribbean ,Upper middle income,8.43059467411442
Equatorial Guinea,GNQ,2024,5041.94038551173,63.906,8.52554628409838,1892516.0,Sub-Saharan Africa ,Upper middle income,8.52554628409838
Estonia,EST,2024,20078.1397620993,79.2951219512195,9.90738692818448,1372341.0,Europe & Central Asia,High income,9.90738692818448
Eswatini,SWZ,2024,3864.20550510839,64.264,8.25951137847002,1242822.0,Sub-Saharan Africa ,Lower middle income,8.25951137847002
Ethiopia,ETH,2024,883.458588619291,67.603,6.78384441869664,132059767.0,Sub-Saharan Africa ,Low income,6.78384441869664
Faroe Islands,FRO,2024,59257.6449307094,83.0832463414634,10.9896500790403,54681.0,Europe & Central Asia,High income,10.9896500790403
Fiji,FJI,2024,5935.20896505673,67.463,8.68865751536358,928784.0,East Asia & Pacific,Upper middle income,8.68865751536358
Finland,FIN,2024,45254.0358658917,82.3365853658537,10.7200471355573,5619911.0,Europe & Central Asia,High income,10.7200471355573
France,FRA,2024,39683.3953489029,82.9804878048781,10.5886881260068,68551653.0,Europe & Central Asia,High income,10.5886881260068
French Polynesia,PYF,2024,20846.6514059991,84.192,9.94494861029992,281807.0,East Asia & Pacific,High income,9.94494861029992
Gabon,GAB,2024,6618.98685865885,68.511,8.79769759472019,2538952.0,Sub-Saharan Africa ,Upper middle income,8.79769759472019
"Gambia, The",GMB,2024,758.96588872906,66.057,6.63195683399974,2759988.0,Sub-Saharan Africa ,Low income,6.63195683399974
Georgia,GEO,2024,6808.07398025981,74.657,8.82586453685983,3699557.0,Europe & Central Asia,Upper middle income,8.82586453685983
Germany,DEU,2024,44027.7631554469,80.7926829268293,10.6925756947213,83516593.0,Europe & Central Asia,High income,10.6925756947213
Ghana,GHA,2024,2167.72691406678,65.695,7.68143439247932,34427414.0,Sub-Saharan Africa ,Lower middle income,7.68143439247932
Greece,GRC,2024,21494.6856060599,81.8390243902439,9.97556100244798,10405134.0,Europe & Central Asia,High income,9.97556100244798
Grenada,GRD,2024,10196.0049872434,75.367,9.22975125463314,117207.0,Latin America & Caribbean ,Upper middle income,9.22975125463314
Guatemala,GTM,2024,4563.09590652717,72.746,8.42575659901184,18406359.0,Latin America & Caribbean ,Upper middle income,8.42575659901184
Guinea,GIN,2024,1045.92207475817,60.904,6.95265414353058,14754785.0,Sub-Saharan Africa ,Lower middle income,6.95265414353058
Guinea-Bissau,GNB,2024,793.692157673779,64.254,6.67669567532958,2201352.0,Sub-Saharan Africa ,Low income,6.67669567532958
Guyana,GUY,2024,33034.9576389333,70.319,10.4053216021545,831087.0,Latin America & Caribbean ,High income,10.4053216021545
Haiti,HTI,2024,1154.87300909888,65.119,7.05174566807894,11772557.0,Latin America & Caribbean ,Lower middle income,7.05174566807894
Honduras,HND,2024,2573.37159995648,73.044,7.85297222468956,10825703.0,Latin America & Caribbean ,Lower middle income,7.85297222468956
"Hong Kong SAR, China",HKG,2024,44712.7654725532,85.3926829268293,10.7080143208726,7524100.0,East Asia & Pacific,High income,10.7080143208726
Hungary,HUN,2024,16518.6369936397,76.7243902439025,9.71224453723285,9562065.0,Europe & Central Asia,High income,9.71224453723285
Iceland,ISL,2024,59307.1777759714,82.809756097561,10.9904856194142,386506.0,Europe & Central Asia,High income,10.9904856194142
India,IND,2024,2396.94999213544,72.235,7.78195237152816,1450935791.0,South Asia,Lower middle income,7.78195237152816
Indonesia,IDN,2024,4367.86266621191,71.288,8.38202907604491,283487931.0,East Asia & Pacific,Upper middle income,8.38202907604491
"Iran, Islamic Rep.",IRN,2024,5834.44296939863,77.854,8.67153407647881,91567738.0,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8.67153407647881
Iraq,IRQ,2024,4180.29619477317,72.424,8.33813738300193,46042015.0,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8.33813738300193
