"age","female","employed","bachelor","personal_income","high_income","ln_age"
39,0,0,0,0,0,3.66356164612965
63,1,0,0,17900,0,4.14313472639153
38,0,0,0,0,0,3.63758615972639
41,0,0,0,0,0,3.71357206670431
31,0,0,0,0,0,3.43398720448515
27,0,0,0,0,0,3.29583686600433
60,0,0,0,0,0,4.0943445622221
36,0,0,0,0,0,3.58351893845611
61,0,0,0,0,0,4.11087386417331
60,0,0,0,11100,0,4.0943445622221
51,0,0,0,213500,1,3.93182563272433
30,1,0,0,4000,0,3.40119738166216
31,0,0,0,0,0,3.43398720448515
27,0,0,0,0,0,3.29583686600433
45,0,0,0,74430,0,3.80666248977032
27,0,1,1,45000,0,3.29583686600433
57,0,0,0,50000,0,4.04305126783455
52,0,0,0,8500,0,3.95124371858143
25,0,1,1,37430,0,3.2188758248682
63,0,0,0,40,0,4.14313472639153
50,1,1,0,15400,0,3.91202300542815
26,1,0,1,35510,0,3.25809653802148
32,1,0,0,0,0,3.46573590279973
59,0,0,0,0,0,4.07753744390572
60,0,0,0,0,0,4.0943445622221
41,0,0,0,0,0,3.71357206670431
56,0,0,1,0,0,4.02535169073515
33,0,0,1,0,0,3.49650756146648
34,0,0,0,0,0,3.52636052461616
52,0,0,0,20700,0,3.95124371858143
28,1,0,0,3600,0,3.3322045101752
63,1,0,0,17900,0,4.14313472639153
56,0,0,0,130,0,4.02535169073515
28,0,1,0,173000,1,3.3322045101752
28,1,0,0,3600,0,3.3322045101752
45,0,0,0,0,0,3.80666248977032
28,0,0,0,0,0,3.3322045101752
42,0,0,0,22000,0,3.73766961828337
28,0,0,0,2700,0,3.3322045101752
35,0,0,0,0,0,3.55534806148941
57,0,1,1,60000,0,4.04305126783455
63,0,0,0,3000,0,4.14313472639153
31,0,0,0,5000,0,3.43398720448515
63,1,1,0,83500,0,4.14313472639153
47,0,0,0,24000,0,3.85014760171006
38,0,0,0,570,0,3.63758615972639
53,0,0,0,2100,0,3.97029191355212
46,0,0,0,0,0,3.8286413964891
48,1,0,0,0,0,3.87120101090789
40,0,0,0,0,0,3.68887945411394
39,0,0,0,21000,0,3.66356164612965
46,0,0,0,0,0,3.8286413964891
25,0,0,0,120,0,3.2188758248682
36,0,0,0,0,0,3.58351893845611
53,1,0,1,0,0,3.97029191355212
29,0,1,0,75000,0,3.36729582998647
44,0,0,0,0,0,3.78418963391826
49,1,0,0,0,0,3.89182029811063
62,0,0,0,0,0,4.12713438504509
31,0,0,0,15900,0,3.43398720448515
57,1,0,0,2700,0,4.04305126783455
30,0,0,0,1800,0,3.40119738166216
37,0,1,0,24400,0,3.61091791264422
39,1,0,0,0,0,3.66356164612965
52,0,0,0,15900,0,3.95124371858143
32,1,1,1,16000,0,3.46573590279973
32,0,0,0,2400,0,3.46573590279973
58,1,0,1,14900,0,4.06044301054642
30,0,0,0,0,0,3.40119738166216
28,1,0,0,30000,0,3.3322045101752
33,0,0,0,40000,0,3.49650756146648
59,0,0,0,5600,0,4.07753744390572
56,1,1,1,120000,1,4.02535169073515
35,1,1,1,72000,0,3.55534806148941
26,0,0,0,1400,0,3.25809653802148
25,0,1,1,37430,0,3.2188758248682
44,1,0,0,0,0,3.78418963391826
43,0,0,0,16000,0,3.76120011569356
52,0,0,0,0,0,3.95124371858143
28,1,0,0,4500,0,3.3322045101752
36,0,0,0,140000,1,3.58351893845611
64,1,0,0,20500,0,4.15888308335967
28,0,0,0,0,0,3.3322045101752
54,0,0,0,0,0,3.98898404656427
43,0,0,0,0,0,3.76120011569356
25,0,0,0,21000,0,3.2188758248682
54,0,0,0,16800,0,3.98898404656427
28,0,1,1,54000,0,3.3322045101752
28,0,0,0,0,0,3.3322045101752
41,1,0,0,15900,0,3.71357206670431
55,1,0,0,0,0,4.00733318523247
29,0,0,0,0,0,3.36729582998647
25,0,1,1,50000,0,3.2188758248682
34,1,1,0,96120,1,3.52636052461616
30,0,0,0,0,0,3.40119738166216
63,0,0,0,12500,0,4.14313472639153
49,0,0,0,500,0,3.89182029811063
44,0,0,0,2400,0,3.78418963391826
55,0,0,0,1000,0,4.00733318523247
33,0,0,0,7400,0,3.49650756146648
35,0,0,0,500,0,3.55534806148941
52,0,0,1,15600,0,3.95124371858143
42,0,0,0,70000,0,3.73766961828337
42,0,0,0,44800,0,3.73766961828337
31,0,0,0,6200,0,3.43398720448515
27,0,0,0,5200,0,3.29583686600433
55,0,0,0,3000,0,4.00733318523247
63,0,0,0,0,0,4.14313472639153
48,0,0,0,0,0,3.87120101090789
57,0,0,1,17700,0,4.04305126783455
46,0,0,0,0,0,3.8286413964891
60,0,1,0,10000,0,4.0943445622221
58,1,0,0,15000,0,4.06044301054642
44,0,0,0,0,0,3.78418963391826
63,1,1,0,17700,0,4.14313472639153
64,1,1,1,88000,0,4.15888308335967
33,0,0,0,0,0,3.49650756146648
29,0,0,0,0,0,3.36729582998647
34,0,0,0,32000,0,3.52636052461616
64,1,0,0,0,0,4.15888308335967
29,0,0,0,90000,0,3.36729582998647
35,1,0,0,13800,0,3.55534806148941
62,0,0,0,0,0,4.12713438504509
44,0,0,0,14400,0,3.78418963391826
58,0,1,1,115000,1,4.06044301054642
60,0,0,0,0,0,4.0943445622221
30,0,0,0,0,0,3.40119738166216
55,0,0,1,0,0,4.00733318523247
33,0,0,0,0,0,3.49650756146648
28,0,0,0,0,0,3.3322045101752
58,1,0,1,14900,0,4.06044301054642
55,0,0,0,0,0,4.00733318523247
62,1,0,0,2300,0,4.12713438504509
33,0,0,0,480,0,3.49650756146648
52,0,0,1,0,0,3.95124371858143
59,0,0,1,0,0,4.07753744390572
59,1,0,0,15000,0,4.07753744390572
42,1,0,0,0,0,3.73766961828337
56,0,0,0,17900,0,4.02535169073515
25,0,0,0,0,0,3.2188758248682
47,0,0,0,1200,0,3.85014760171006
45,0,0,0,200,0,3.80666248977032
35,0,0,0,7200,0,3.55534806148941
38,0,0,0,1000,0,3.63758615972639
45,0,0,0,0,0,3.80666248977032
25,0,0,0,0,0,3.2188758248682
59,0,1,1,24300,0,4.07753744390572
35,0,0,0,150,0,3.55534806148941
28,0,0,0,0,0,3.3322045101752
42,0,0,0,0,0,3.73766961828337
48,1,1,0,12000,0,3.87120101090789
44,0,0,0,0,0,3.78418963391826
57,1,0,0,0,0,4.04305126783455
42,0,0,0,0,0,3.73766961828337
46,0,0,0,62790,0,3.8286413964891
30,0,0,0,13200,0,3.40119738166216
36,0,0,0,12100,0,3.58351893845611
43,1,0,0,0,0,3.76120011569356
35,0,1,0,45000,0,3.55534806148941
